FID,MAJORITY
290,9
291,9
292,9
293,9
294,9
295,9
296,9
297,9
298,9
299,9
300,9
301,9
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,9
311,9
312,9
313,9
314,9
315,9
316,9
317,9
318,9
319,9
320,9
321,9
322,9
323,9
324,9
325,9
326,9
327,9
328,9
329,9
330,9
331,9
332,9
333,9
334,9
335,9
336,9
337,9
338,9
339,9
340,9
341,9
342,9
343,9
344,9
345,9
346,9
347,9
348,9
349,9
350,9
351,9
352,9
353,9
354,9
355,9
356,9
357,9
358,9
359,9
360,9
361,9
362,9
363,9
364,9
365,9
366,9
367,9
368,9
369,9
370,9
371,9
372,9
373,9
374,9
375,11
376,11
377,9
378,9
379,9
380,9
381,9
382,9
383,9
384,9
385,9
386,11
387,9
388,9
389,9
390,9
391,9
392,9
393,9
394,9
395,9
396,9
397,9
398,9
399,9
400,9
401,9
402,9
403,9
404,9
405,9
406,9
407,9
408,9
409,9
410,9
411,9
412,9
413,11
414,11
415,9
416,9
417,9
418,9
419,9
420,9
421,9
422,9
423,9
424,9
425,9
426,11
427,9
428,9
429,9
430,9
431,9
432,9
433,9
434,9
435,9
436,9
437,9
438,9
439,9
440,9
441,9
442,9
443,9
444,7
445,9
446,9
447,9
448,9
449,9
450,9
451,9
452,9
453,9
454,12
455,9
456,9
457,9
458,9
459,9
460,9
461,9
462,9
463,9
464,9
465,11
466,11
467,9
468,9
469,9
470,9
471,9
472,9
473,9
474,9
475,9
476,9
477,9
478,9
479,9
480,9
481,9
482,9
483,9
484,9
485,9
486,9
487,9
488,9
489,9
490,9
491,9
492,9
493,9
494,9
495,9
496,9
497,9
498,9
499,9
500,9
501,9
502,9
503,9
504,9
505,9
506,9
507,9
508,9
509,9
510,9
511,9
512,9
513,9
514,9
515,9
516,11
517,11
518,11
519,11
520,11
521,9
522,9
523,9
524,9
525,9
526,9
527,9
528,9
529,9
530,9
531,9
532,9
533,9
534,9
535,9
536,9
537,9
538,9
539,9
540,9
541,9
542,9
543,9
544,9
545,9
546,9
547,9
548,9
549,9
550,9
551,9
552,9
553,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,9
563,9
564,9
565,9
566,11
567,11
568,11
569,11
570,11
571,9
572,9
573,9
574,9
575,9
576,9
577,9
578,9
579,9
580,9
581,9
582,9
583,9
584,9
585,9
586,9
587,9
588,9
589,9
590,9
591,9
592,9
593,9
594,9
595,9
596,9
597,9
598,11
599,11
600,9
601,9
602,9
603,11
604,9
605,9
606,9
607,9
608,9
609,9
610,9
611,12
612,9
613,12
614,9
615,9
616,9
617,9
618,11
619,11
620,11
621,11
622,11
623,11
624,11
625,11
626,11
627,11
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
648,11
649,11
650,11
651,9
652,9
653,13
654,13
655,13
656,9
657,9
658,9
659,12
660,9
661,9
662,13
663,13
664,9
665,13
666,13
667,13
668,13
669,13
670,13
671,11
672,11
673,9
674,9
675,9
676,9
677,9
678,9
679,9
680,9
681,9
682,9
683,9
684,9
685,9
686,9
687,9
688,9
689,9
690,9
691,9
692,9
693,11
694,9
695,9
696,7
697,13
698,9
699,9
700,9
701,13
702,13
703,13
704,13
705,13
706,13
707,13
708,13
709,11
710,11
711,11
712,9
713,9
714,9
715,9
716,9
717,9
718,9
719,9
720,9
721,9
722,9
723,9
724,9
725,9
726,9
727,9
728,9
729,9
730,7
731,13
732,9
733,13
734,13
735,13
736,13
737,13
738,13
739,13
740,13
741,13
742,13
743,13
744,13
745,13
746,9
747,9
748,9
749,9
750,9
751,9
752,9
753,9
754,9
755,9
756,9
757,9
758,9
759,9
760,9
761,9
762,12
763,9
764,7
765,9
766,9
767,13
768,9
769,13
770,13
771,13
772,10
773,9
774,13
775,13
776,13
777,13
778,13
779,11
780,9
781,9
782,9
783,9
784,9
785,9
786,9
787,9
788,9
789,9
790,9
791,9
792,9
793,9
794,7
795,9
796,7
797,13
798,9
799,9
800,9
801,13
802,13
803,13
804,13
805,13
806,13
807,13
808,13
809,13
810,13
811,13
812,11
813,9
814,9
815,9
816,9
817,9
818,9
819,9
820,9
821,9
822,9
823,9
824,9
825,9
826,7
827,12
828,7
829,7
830,13
831,9
832,9
833,9
834,9
835,13
836,13
837,13
838,13
839,13
840,13
841,13
842,13
843,13
844,13
845,11
846,9
847,9
848,9
849,9
850,9
851,9
852,9
853,9
854,9
855,9
856,9
857,12
858,9
859,9
860,12
861,7
862,9
863,9
864,9
865,9
866,9
867,13
868,13
869,13
870,13
871,13
872,13
873,13
874,13
875,13
876,13
877,11
878,11
879,9
880,9
881,9
882,9
883,9
884,9
885,9
886,9
887,9
888,9
889,9
890,9
891,9
892,9
893,10
894,9
895,9
896,9
897,9
898,9
899,9
900,9
901,9
902,13
903,9
904,9
905,9
906,9
907,13
908,13
909,13
910,9
911,9
912,11
913,9
914,9
915,9
916,9
917,9
918,9
919,9
920,9
921,9
922,9
923,9
924,9
925,9
926,13
927,9
928,9
929,9
930,9
931,9
932,9
933,13
934,13
935,13
936,13
937,13
938,13
939,13
940,9
941,9
942,13
943,13
944,13
945,11
946,9
947,9
948,9
949,9
950,9
951,9
952,9
953,9
954,9
955,9
956,9
957,9
958,9
959,13
960,10
961,9
962,9
963,9
964,10
965,13
966,13
967,13
968,13
969,13
970,9
971,9
972,9
973,9
974,9
975,13
976,9
977,9
978,13
979,13
980,13
981,9
982,9
983,9
984,9
985,9
986,9
987,9
988,9
989,9
990,9
991,10
992,10
993,10
994,9
995,9
996,13
997,13
998,13
999,13
1000,9
1001,9
1002,9
1003,13
1004,13
1005,13
1006,13
1007,13
1008,13
1009,13
1010,13
1011,13
1012,13
1013,9
1014,9
1015,11
1016,9
1017,9
1018,9
1019,9
1020,9
1021,13
1022,13
1023,13
1024,13
1025,13
1026,13
1027,13
1028,13
1029,13
1030,13
1031,13
1032,13
1033,13
1034,13
1035,13
1036,9
1037,9
1038,9
1039,9
1040,9
1041,9
1042,9
1043,13
1044,13
1045,13
1046,9
1047,9
1048,9
1049,9
1050,9
1051,9
1052,9
1053,9
1054,9
1055,11
1056,11
1057,13
1058,7
1059,13
1060,13
1061,13
1062,13
1063,13
1064,13
1065,9
1066,9
1067,9
1068,9
1069,9
1070,9
1071,9
1072,9
1073,9
1074,9
1075,9
1076,9
1077,9
1078,9
1079,9
1080,9
1081,9
1082,9
1083,9
1084,9
1085,9
1086,9
1087,9
1088,11
1089,7
1090,7
1091,7
1092,5
1093,7
1094,5
1095,5
1096,5
1097,9
1098,9
1099,9
1100,9
1101,9
1102,12
1103,12
1104,12
1105,7
1106,9
1107,12
1108,9
1109,9
1110,9
1111,9
1112,9
1113,9
1114,9
1115,9
1116,9
1117,5
1118,7
1119,7
1120,7
1121,5
1122,5
1123,5
1124,9
1125,9
1126,9
1127,9
1128,9
1129,9
1130,12
1131,9
1132,9
1133,9
1134,9
1135,12
1136,7
1137,7
1138,9
1139,9
1140,9
1141,9
1142,9
1143,9
1144,9
1145,9
1146,9
1147,9
1148,9
1149,9
1150,9
1151,9
1152,9
1153,9
1154,9
1155,9
1156,7
1157,9
1158,9
1159,9
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
