FID,OID_,Shape_Leng,Shape_Area,Rowid_,FID_1,COUNT,AREA,MEAN
0,0,0.999999998691000,0.062499999836300,1,0,90000,0.062499999950000,1695.531211111111100
1,0,0.999999998691000,0.062499999836300,2,1,90000,0.062499999950000,1750.109111111111100
2,0,0.999999998691000,0.062499999836300,3,2,90000,0.062499999950000,1130.948500000000000
3,0,0.999999998691000,0.062499999836300,4,3,90000,0.062499999950000,884.301177777777750
4,0,1.000000001330000,0.062500000165600,5,4,90000,0.062499999950000,2280.500711111111300
5,0,0.999999998691000,0.062499999836300,6,5,90000,0.062499999950000,1979.017477777777700
6,0,0.999999998691000,0.062499999836300,7,6,90000,0.062499999950000,1590.081177777777800
7,0,0.999999998691000,0.062499999836300,8,7,90000,0.062499999950000,1835.702211111111200
8,0,1.000000001320000,0.062500000165600,9,8,90000,0.062499999950000,1639.744922222222200
9,0,0.999999998691000,0.062499999836300,10,9,90000,0.062499999950000,1671.356399999999900
10,0,0.999999998691000,0.062499999836400,11,10,90000,0.062499999950000,1617.926888888888900
11,0,0.999999998691000,0.062499999836300,12,11,90000,0.062499999950000,1452.909155555555600
12,0,1.000000001320000,0.062500000165600,13,12,90000,0.062499999950000,1354.182744444444600
13,0,0.999999998691000,0.062499999836300,14,13,90000,0.062499999950000,857.685644444444390
14,0,0.999999998691000,0.062499999836300,15,14,90000,0.062499999950000,933.736255555555540
15,0,0.999999998691000,0.062499999836300,16,15,90000,0.062499999950000,821.709777777777730
16,0,1.000000003960000,0.062500000494900,17,16,90000,0.062499999950000,1699.990077777777700
17,0,1.000000001330000,0.062500000165600,18,17,90000,0.062499999950000,1668.616266666666700
18,0,1.000000001330000,0.062500000165600,19,18,90000,0.062499999950000,1525.636833333333200
19,0,1.000000001330000,0.062500000165600,20,19,90000,0.062499999950000,1646.717500000000000
20,0,1.000000001330000,0.062500000165600,21,20,90000,0.062499999950000,1907.196822222222200
21,0,1.000000001330000,0.062500000165600,22,21,90000,0.062499999950000,1702.203766666666800
22,0,1.000000003960000,0.062500000494900,23,22,90000,0.062499999950000,1278.464622222222300
23,0,1.000000001330000,0.062500000165600,24,23,90000,0.062499999950000,1128.564466666666700
24,0,1.000000001330000,0.062500000165600,25,24,90000,0.062499999950000,673.777433333333310
25,0,1.000000001330000,0.062500000165600,26,25,90000,0.062499999950000,544.367177777777780
26,0,1.000000003960000,0.062500000494900,27,26,90000,0.062499999950000,445.160433333333340
27,0,1.000000001330000,0.062500000165600,28,27,90000,0.062499999950000,501.473744444444430
28,0,1.000000001330000,0.062500000165600,29,28,90000,0.062499999950000,616.508266666666710
29,0,1.000000001330000,0.062500000165600,30,29,90000,0.062499999950000,838.824388888888850
30,0,1.000000003960000,0.062500000494900,31,30,90000,0.062499999950000,1387.565400000000000
31,0,1.000000001330000,0.062500000165600,32,31,90000,0.062499999950000,1199.171244444444500
32,0,1.000000003960000,0.062500000494900,33,32,90000,0.062499999950000,1099.372388888889000
33,0,1.000000001330000,0.062500000165600,34,33,90000,0.062499999950000,1085.609355555555600
34,0,1.000000001330000,0.062500000165600,35,34,90000,0.062499999950000,1070.428288888888800
35,0,1.000000003960000,0.062500000494900,36,35,90000,0.062499999950000,1073.719477777777700
36,0,1.000000001330000,0.062500000165600,37,36,90000,0.062499999950000,698.591277777777800
37,0,1.000000001330000,0.062500000165600,38,37,90000,0.062499999950000,513.151033333333320
38,0,1.000000001330000,0.062500000165600,39,38,90000,0.062499999950000,523.636733333333380
39,0,1.000000001320000,0.062500000165600,40,39,90000,0.062499999950000,2764.353166666666800
40,0,0.999999998691000,0.062499999836400,41,40,90000,0.062499999950000,2369.070833333333200
41,0,0.999999998691000,0.062499999836300,42,41,90000,0.062499999950000,1992.870988888888900
42,0,0.999999998691000,0.062499999836300,43,42,90000,0.062499999950000,1804.000544444444400
43,0,1.000000001320000,0.062500000165600,44,43,90000,0.062499999950000,1689.999366666666700
44,0,0.999999998691000,0.062499999836300,45,44,90000,0.062499999950000,1636.191677777777800
45,0,0.999999998691000,0.062499999836300,46,45,90000,0.062499999950000,1741.383044444444500
46,0,0.999999998691000,0.062499999836300,47,46,90000,0.062499999950000,1761.987733333333400
47,0,1.000000001330000,0.062500000165600,48,47,90000,0.062499999950000,1428.159799999999900
48,0,0.999999998691000,0.062499999836300,49,48,90000,0.062499999950000,1193.739122222222200
49,0,0.999999998691000,0.062499999836300,50,49,90000,0.062499999950000,851.494433333333290
50,0,0.999999998691000,0.062499999836300,51,50,90000,0.062499999950000,719.815422222222200
51,0,1.000000001330000,0.062500000165600,52,51,90000,0.062499999950000,648.436922222222280
52,0,0.999999998691000,0.062499999836300,53,52,90000,0.062499999950000,599.829799999999980
53,0,0.999999998691000,0.062499999836300,54,53,90000,0.062499999950000,549.180266666666630
54,0,0.999999998691000,0.062499999836300,55,54,90000,0.062499999950000,514.985711111111070
55,0,1.000000001320000,0.062500000165600,56,55,90000,0.062499999950000,457.936022222222220
56,0,0.999999998691000,0.062499999836300,57,56,90000,0.062499999950000,398.720711111111090
57,0,0.999999998691000,0.062499999836400,58,57,90000,0.062499999950000,451.773900000000030
58,0,0.999999998691000,0.062499999836300,59,58,90000,0.062499999950000,675.728088888888920
59,0,1.000000001320000,0.062500000165600,60,59,90000,0.062499999950000,862.305133333333290
60,0,0.999999998691000,0.062499999836300,61,60,90000,0.062499999950000,1564.739233333333200
61,0,0.999999998691000,0.062499999836300,62,61,90000,0.062499999950000,1434.667222222222300
62,0,0.999999998691000,0.062499999836300,63,62,90000,0.062499999950000,1332.236177777777800
