FID,MAJORITY
564,9
565,9
566,11
567,11
568,11
569,11
570,11
571,9
572,9
573,9
574,9
575,9
576,9
577,9
578,9
579,9
580,9
581,9
582,9
583,9
584,9
585,9
586,9
587,9
588,9
589,9
590,9
591,9
592,9
593,9
594,9
595,9
596,9
597,9
598,0
599,0
600,0
601,0
602,0
603,0
604,9
605,9
606,5
607,5
608,5
609,9
610,9
611,9
612,9
613,11
614,9
615,9
616,9
617,9
618,11
619,11
620,11
621,11
622,11
623,11
624,11
625,11
626,11
627,11
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,0
647,0
648,0
649,0
650,0
651,5
652,5
653,13
654,13
655,13
656,9
657,9
658,9
659,11
660,9
661,9
662,13
663,13
664,9
665,13
666,13
667,13
668,13
669,13
670,13
671,11
672,11
673,9
674,9
675,9
676,9
677,9
678,9
679,9
680,9
681,9
682,9
683,9
684,9
685,9
686,9
687,9
688,9
689,9
690,9
691,9
692,0
693,0
694,5
695,9
696,9
697,13
698,9
699,9
700,9
701,13
702,13
703,13
704,13
705,13
706,13
707,13
708,13
709,11
710,11
711,11
712,9
713,9
714,9
715,9
716,9
717,9
718,9
719,9
720,9
721,9
722,9
723,9
724,9
725,9
726,9
727,9
728,9
729,9
730,9
731,9
732,9
733,13
734,13
735,13
736,13
737,13
738,13
739,13
740,13
741,13
742,13
743,13
744,13
745,13
746,9
747,9
748,9
749,9
750,9
751,9
752,9
753,9
754,9
755,9
756,9
757,9
758,9
759,9
760,9
761,9
762,5
763,9
764,9
765,9
766,9
767,13
768,13
769,13
770,13
771,13
772,12
773,9
774,13
775,13
776,13
777,13
778,13
779,11
780,9
781,9
782,9
783,9
784,9
785,9
786,9
787,9
788,9
789,9
790,9
791,9
792,9
793,9
794,5
795,9
796,9
797,9
798,9
799,5
800,5
801,13
802,13
803,13
804,13
805,13
806,13
807,13
808,13
809,13
810,13
811,13
812,11
813,9
814,9
815,9
816,9
817,9
818,9
819,9
820,11
821,9
822,9
823,9
824,9
825,11
826,5
827,9
828,5
829,9
830,13
831,5
832,5
833,13
834,9
835,13
836,13
837,13
838,13
839,13
840,13
841,13
842,13
843,13
844,13
845,11
846,9
847,9
848,9
849,9
850,9
851,9
852,9
853,9
854,9
855,9
856,9
857,11
858,11
859,5
860,10
861,9
862,5
863,5
864,5
865,5
866,5
867,13
868,13
869,13
870,13
871,13
872,13
873,13
874,13
875,13
876,13
877,11
878,11
879,11
880,9
881,9
882,9
883,9
884,9
885,9
886,9
887,9
888,9
889,11
890,11
891,9
892,9
893,12
894,9
895,12
896,5
897,5
898,5
899,5
900,5
901,13
902,13
903,9
904,9
905,9
906,9
907,13
908,13
909,13
910,9
911,9
912,11
913,9
914,9
915,9
916,9
917,9
918,9
919,9
920,9
921,9
922,9
923,9
924,9
925,9
926,13
927,0
928,5
929,5
930,5
931,5
932,5
933,13
934,13
935,13
936,13
937,13
938,13
939,13
940,9
941,9
942,13
943,13
944,13
945,11
946,9
947,9
948,9
949,9
950,9
951,9
952,9
953,9
954,9
955,9
956,9
957,9
958,9
959,13
960,12
961,5
962,5
963,5
964,12
965,13
966,13
967,13
968,13
969,13
970,9
971,9
972,9
973,9
974,9
975,13
976,9
977,9
978,13
979,13
980,13
981,9
982,9
983,9
984,9
985,9
986,9
987,9
988,9
989,9
990,9
991,12
992,12
993,12
994,5
995,5
996,13
997,13
998,13
999,13
1000,9
1001,9
1002,9
1003,13
1004,13
1005,13
1006,13
1007,13
1008,13
1009,13
1010,13
1011,13
1012,13
1013,9
1014,9
1015,11
1016,11
