OID_,lon,lat
,107.8750000,33.6250000
,108.1250000,33.6250000
,111.8750000,33.6250000
,112.1250000,33.6250000
,107.6250000,33.8750000
,107.8750000,33.8750000
,108.1250000,33.8750000
,108.3750000,33.8750000
,108.6250000,33.8750000
,108.8750000,33.8750000
,109.1250000,33.8750000
,109.3750000,33.8750000
,109.6250000,33.8750000
,111.8750000,33.8750000
,112.1250000,33.8750000
,112.3750000,33.8750000
,105.6250000,34.1250000
,105.8750000,34.1250000
,106.1250000,34.1250000
,106.3750000,34.1250000
,107.1250000,34.1250000
,107.3750000,34.1250000
,107.6250000,34.1250000
,107.8750000,34.1250000
,108.1250000,34.1250000
,108.3750000,34.1250000
,108.6250000,34.1250000
,108.8750000,34.1250000
,109.1250000,34.1250000
,109.3750000,34.1250000
,109.6250000,34.1250000
,109.8750000,34.1250000
,110.6250000,34.1250000
,110.8750000,34.1250000
,111.3750000,34.1250000
,111.6250000,34.1250000
,111.8750000,34.1250000
,112.1250000,34.1250000
,112.3750000,34.1250000
,104.6250000,34.3750000
,104.8750000,34.3750000
,105.1250000,34.3750000
,105.3750000,34.3750000
,105.6250000,34.3750000
,105.8750000,34.3750000
,106.1250000,34.3750000
,106.3750000,34.3750000
,106.6250000,34.3750000
,106.8750000,34.3750000
,107.1250000,34.3750000
,107.3750000,34.3750000
,107.6250000,34.3750000
,107.8750000,34.3750000
,108.1250000,34.3750000
,108.3750000,34.3750000
,108.6250000,34.3750000
,108.8750000,34.3750000
,109.1250000,34.3750000
,109.3750000,34.3750000
,109.6250000,34.3750000
,109.8750000,34.3750000
,110.1250000,34.3750000
,110.3750000,34.3750000
,110.6250000,34.3750000
,110.8750000,34.3750000
,111.1250000,34.3750000
,111.3750000,34.3750000
,111.6250000,34.3750000
,111.8750000,34.3750000
,112.1250000,34.3750000
,112.3750000,34.3750000
,112.6250000,34.3750000
,112.8750000,34.3750000
,104.1250000,34.6250000
,104.3750000,34.6250000
,104.6250000,34.6250000
,104.8750000,34.6250000
,105.1250000,34.6250000
,105.3750000,34.6250000
,105.6250000,34.6250000
,105.8750000,34.6250000
,106.1250000,34.6250000
,106.3750000,34.6250000
,106.6250000,34.6250000
,106.8750000,34.6250000
,107.1250000,34.6250000
,107.3750000,34.6250000
,107.6250000,34.6250000
,107.8750000,34.6250000
,108.1250000,34.6250000
,108.3750000,34.6250000
,108.6250000,34.6250000
,108.8750000,34.6250000
,109.1250000,34.6250000
,109.3750000,34.6250000
,109.6250000,34.6250000
,109.8750000,34.6250000
,110.1250000,34.6250000
,110.3750000,34.6250000
,110.6250000,34.6250000
,110.8750000,34.6250000
,111.1250000,34.6250000
,111.3750000,34.6250000
,111.6250000,34.6250000
,111.8750000,34.6250000
,112.1250000,34.6250000
,112.3750000,34.6250000
,112.6250000,34.6250000
,112.8750000,34.6250000
,113.1250000,34.6250000
,113.3750000,34.6250000
,113.6250000,34.6250000
,103.8750000,34.8750000
,104.1250000,34.8750000
,104.3750000,34.8750000
,104.6250000,34.8750000
,104.8750000,34.8750000
,105.1250000,34.8750000
,105.3750000,34.8750000
,105.6250000,34.8750000
,105.8750000,34.8750000
,106.1250000,34.8750000
,106.3750000,34.8750000
,106.6250000,34.8750000
,106.8750000,34.8750000
,107.1250000,34.8750000
,107.3750000,34.8750000
,107.6250000,34.8750000
,107.8750000,34.8750000
,108.1250000,34.8750000
,108.3750000,34.8750000
,108.6250000,34.8750000
,108.8750000,34.8750000
,109.1250000,34.8750000
,109.3750000,34.8750000
,109.6250000,34.8750000
,109.8750000,34.8750000
,110.1250000,34.8750000
,110.3750000,34.8750000
,110.6250000,34.8750000
,110.8750000,34.8750000
,111.1250000,34.8750000
,111.3750000,34.8750000
,111.6250000,34.8750000
,111.8750000,34.8750000
,112.1250000,34.8750000
,112.3750000,34.8750000
,112.6250000,34.8750000
,112.8750000,34.8750000
,113.1250000,34.8750000
,113.3750000,34.8750000
,113.6250000,34.8750000
,101.8750000,35.1250000
,102.1250000,35.1250000
,102.3750000,35.1250000
,103.1250000,35.1250000
,103.3750000,35.1250000
,103.6250000,35.1250000
,103.8750000,35.1250000
,104.1250000,35.1250000
,104.3750000,35.1250000
,104.6250000,35.1250000
,104.8750000,35.1250000
,105.1250000,35.1250000
,105.3750000,35.1250000
,105.6250000,35.1250000
,105.8750000,35.1250000
,106.1250000,35.1250000
,106.3750000,35.1250000
,106.6250000,35.1250000
,106.8750000,35.1250000
,107.1250000,35.1250000
,107.3750000,35.1250000
,107.6250000,35.1250000
,107.8750000,35.1250000
,108.1250000,35.1250000
,108.3750000,35.1250000
,108.6250000,35.1250000
,108.8750000,35.1250000
,109.1250000,35.1250000
,109.3750000,35.1250000
,109.6250000,35.1250000
,109.8750000,35.1250000
,110.1250000,35.1250000
,110.3750000,35.1250000
,110.6250000,35.1250000
,110.8750000,35.1250000
,111.1250000,35.1250000
,111.3750000,35.1250000
,111.6250000,35.1250000
,111.8750000,35.1250000
,112.1250000,35.1250000
,112.3750000,35.1250000
,112.6250000,35.1250000
,112.8750000,35.1250000
,101.8750000,35.3750000
,102.1250000,35.3750000
,102.3750000,35.3750000
,102.8750000,35.3750000
,103.1250000,35.3750000
,103.3750000,35.3750000
,103.6250000,35.3750000
,103.8750000,35.3750000
,104.1250000,35.3750000
,104.3750000,35.3750000
,104.6250000,35.3750000
,104.8750000,35.3750000
,105.1250000,35.3750000
,105.3750000,35.3750000
,105.6250000,35.3750000
,105.8750000,35.3750000
,106.1250000,35.3750000
,106.3750000,35.3750000
,106.6250000,35.3750000
,106.8750000,35.3750000
,107.1250000,35.3750000
,107.3750000,35.3750000
,107.6250000,35.3750000
,107.8750000,35.3750000
,108.1250000,35.3750000
,108.3750000,35.3750000
,108.6250000,35.3750000
,108.8750000,35.3750000
,109.1250000,35.3750000
,109.3750000,35.3750000
,109.6250000,35.3750000
,109.8750000,35.3750000
,110.1250000,35.3750000
,110.3750000,35.3750000
,110.6250000,35.3750000
,110.8750000,35.3750000
,111.1250000,35.3750000
,111.3750000,35.3750000
,111.6250000,35.3750000
,111.8750000,35.3750000
,112.1250000,35.3750000
,112.3750000,35.3750000
,112.6250000,35.3750000
,112.8750000,35.3750000
,113.1250000,35.3750000
,113.3750000,35.3750000
,101.3750000,35.6250000
,101.6250000,35.6250000
,101.8750000,35.6250000
,102.1250000,35.6250000
,102.3750000,35.6250000
,102.6250000,35.6250000
,102.8750000,35.6250000
,103.1250000,35.6250000
,103.3750000,35.6250000
,103.6250000,35.6250000
,103.8750000,35.6250000
,104.1250000,35.6250000
,104.3750000,35.6250000
,104.6250000,35.6250000
,104.8750000,35.6250000
,105.1250000,35.6250000
,105.3750000,35.6250000
,105.6250000,35.6250000
,105.8750000,35.6250000
,106.1250000,35.6250000
